                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.80889,                0.38331,                0.78478,                 0.9472,                0.69149,                0.77513,                0.53023,                  0.864,                0.40012,                0.79868,             0.00069313,             0.00069313,             0.00069313
                     47,                0.80754,                0.38123,                0.78504,                0.93195,                0.70629,                0.79624,                0.55473,                0.80429,                 0.3864,                0.79523,             0.00068075,             0.00068075,             0.00068075
                     48,                0.78249,                0.37371,                0.78353,                0.87739,                0.74283,                0.80279,                0.56105,                0.81217,                0.37769,                0.79535,             0.00066838,             0.00066838,             0.00066838
                     49,                0.78994,                0.38124,                0.78468,                0.93351,                 0.6652,                0.76645,                0.53754,                0.79785,                0.39591,                 0.7949,               0.000656,               0.000656,               0.000656
                     50,                 0.7816,                0.37898,                0.78329,                0.89334,                 0.7522,                0.80284,                 0.5566,                 0.7846,                0.38141,                0.79281,             0.00064362,             0.00064362,             0.00064362
                     51,                0.80579,                0.38471,                 0.7842,                0.81684,                0.73162,                0.77463,                0.53717,                0.81039,                0.39775,                0.79505,             0.00063125,             0.00063125,             0.00063125
                     52,                0.82342,                0.38136,                0.78558,                0.90295,                0.70878,                0.77299,                0.55348,                 0.8088,                 0.3845,                0.79653,             0.00061887,             0.00061887,             0.00061887
                     53,                0.79071,                0.37032,                0.78265,                0.91078,                0.70306,                0.77576,                0.56542,                0.77515,                0.37766,                0.79478,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77706,                 0.3689,                0.78193,                0.92615,                0.71073,                0.78525,                0.55202,                0.78369,                0.39055,                 0.7928,             0.00059413,             0.00059413,             0.00059413
                     55,                0.75298,                0.35771,                0.78066,                0.93143,                0.70582,                0.79708,                0.54496,                0.82715,                0.39735,                0.79591,             0.00058175,             0.00058175,             0.00058175
                     56,                0.79724,                0.37021,                0.78489,                0.91473,                0.72759,                0.78428,                0.54917,                0.78766,                0.38682,                0.79247,             0.00056938,             0.00056938,             0.00056938
                     57,                0.77001,                0.35986,                0.78057,                0.89938,                0.72674,                0.79444,                0.55565,                0.78583,                0.37734,                0.79306,               0.000557,               0.000557,               0.000557
                     58,                0.75213,                0.35886,                0.78089,                 0.9501,                0.68619,                 0.7823,                 0.5559,                0.79448,                0.37584,                0.79479,             0.00054463,             0.00054463,             0.00054463
                     59,                0.75759,                0.36029,                0.78105,                0.86798,                0.74286,                0.80311,                0.55923,                0.78764,                0.37961,                0.79345,             0.00053225,             0.00053225,             0.00053225
                     60,                0.76213,                0.35326,                0.78014,                0.95145,                 0.7124,                0.80103,                0.56226,                0.81253,                 0.3903,                0.79535,             0.00051988,             0.00051988,             0.00051988
                     61,                0.76735,                0.35823,                0.77843,                0.90616,                0.72205,                0.80329,                0.57919,                0.76111,                  0.376,                0.79306,              0.0005075,              0.0005075,              0.0005075
                     62,                0.75841,                0.34902,                0.78111,                0.92599,                0.72183,                0.78798,                0.54944,                0.80841,                0.37342,                0.79465,             0.00049513,             0.00049513,             0.00049513
                     63,                0.73096,                0.34095,                0.77989,                0.87888,                0.72635,                0.80845,                0.55961,                0.80299,                0.38478,                0.79378,             0.00048275,             0.00048275,             0.00048275
                     64,                0.72284,                0.33831,                0.77852,                0.93263,                0.74267,                0.80303,                0.56939,                0.77645,                0.36892,                0.79349,             0.00047038,             0.00047038,             0.00047038
                     65,                0.72235,                0.33993,                0.77995,                0.97315,                0.71093,                0.80399,                0.58259,                0.76945,                0.36372,                0.79192,               0.000458,               0.000458,               0.000458
